id_produto,id_atleta,ganho_massa,idade,frequencia_treino
Fórmula 3,1,2.24,27,5
Fórmula 1,2,4.97,35,4
Fórmula 3,3,0.88,30,6
Fórmula 3,4,0.09,22,6
Fórmula 1,5,2.47,18,6
Fórmula 1,6,0.89,39,4
Fórmula 3,7,1.83,18,4
Fórmula 2,8,3.72,35,3
Fórmula 3,9,3.6,32,5
Fórmula 3,10,1.54,34,2
Fórmula 3,11,2.71,28,6
Fórmula 3,12,2.54,38,3
Fórmula 1,13,3.18,39,2
Fórmula 3,14,1.25,34,3
Fórmula 2,15,2.95,30,4
Fórmula 1,16,4.89,18,6
Fórmula 2,17,2.43,19,2
Fórmula 2,18,4.53,26,2
Fórmula 2,19,2.17,20,2
Fórmula 2,20,1.75,18,2
Fórmula 1,21,3.23,38,2
Fórmula 1,22,3.34,33,3
Fórmula 2,23,4.32,23,6
Fórmula 2,24,1.15,34,4
Fórmula 1,25,2.5,22,4
Fórmula 1,26,2.86,22,4
Fórmula 1,27,3.84,23,4
Fórmula 3,28,0.22,20,3
Fórmula 3,29,4.97,38,5
Fórmula 3,30,2.35,22,6
Fórmula 2,31,1.4,38,2
Fórmula 3,32,4.42,22,5
Fórmula 2,33,3.74,27,4
Fórmula 2,34,4.77,27,5
Fórmula 3,35,1.65,36,6
Fórmula 2,36,2.76,34,2
Fórmula 3,37,2.86,38,2
Fórmula 3,38,4.9,31,6
Fórmula 1,39,0.38,26,6
Fórmula 3,40,1.53,31,4
Fórmula 1,41,0.95,18,2
Fórmula 3,42,1.34,36,5
Fórmula 3,43,2.43,30,3
Fórmula 1,44,1.86,30,3
Fórmula 1,45,1.97,21,6
Fórmula 3,46,4.22,18,4
Fórmula 2,47,4.65,34,3
Fórmula 1,48,0.35,25,2
Fórmula 2,49,1.04,19,6
Fórmula 2,50,3.36,25,5
Fórmula 2,51,1.79,24,6
Fórmula 1,52,1.27,19,5
Fórmula 2,53,1.48,39,6
Fórmula 1,54,1.61,39,6
Fórmula 2,55,4.24,20,6
Fórmula 3,56,0.68,35,5
Fórmula 3,57,3.54,29,5
Fórmula 1,58,2.76,18,6
Fórmula 3,59,1.48,39,3
Fórmula 3,60,2.1,29,4
Fórmula 2,61,1.28,22,4
Fórmula 1,62,3.06,34,4
Fórmula 2,63,0.41,33,5
Fórmula 2,64,0.03,32,5
Fórmula 2,65,3.14,32,3
Fórmula 2,66,0.97,22,4
Fórmula 2,67,0.35,38,4
Fórmula 2,68,1.98,31,6
Fórmula 2,69,0.25,19,5
Fórmula 1,70,4.43,28,4
Fórmula 3,71,0.14,36,3
Fórmula 2,72,2.89,24,3
Fórmula 2,73,2.19,23,4
Fórmula 2,74,3.36,19,5
Fórmula 2,75,1.64,23,3
Fórmula 2,76,0.78,35,6
Fórmula 2,77,4.91,19,3
Fórmula 3,78,4.19,35,2
Fórmula 3,79,4.3,32,2
Fórmula 2,80,1.25,36,5
Fórmula 3,81,0.19,19,4
Fórmula 1,82,1.52,37,5
Fórmula 2,83,2.69,23,5
Fórmula 1,84,1.63,18,5
Fórmula 1,85,4.14,32,5
Fórmula 2,86,1.36,27,6
Fórmula 3,87,4.83,36,6
Fórmula 1,88,2.29,34,3
Fórmula 2,89,4.21,22,2
Fórmula 1,90,0.97,21,5
Fórmula 1,91,2.06,27,3
Fórmula 1,92,3.5,34,2
Fórmula 1,93,0.69,27,4
Fórmula 3,94,0.66,34,6
Fórmula 1,95,4.85,37,2
Fórmula 1,96,3.57,22,4
Fórmula 1,97,0.21,19,2
Fórmula 3,98,1.99,23,6
Fórmula 1,99,2.17,38,6
Fórmula 1,100,3.72,19,3
Fórmula 3,101,1.25,30,5
Fórmula 3,102,0.92,28,2
Fórmula 3,103,0.4,28,2
Fórmula 1,104,2.14,33,4
Fórmula 3,105,3.44,28,6
Fórmula 3,106,0.29,36,2
Fórmula 1,107,4.58,32,6
Fórmula 3,108,2.21,33,2
Fórmula 1,109,1.2,28,3
Fórmula 2,110,0.47,39,5
Fórmula 3,111,0.91,33,2
Fórmula 2,112,4.67,25,6
Fórmula 1,113,3.19,21,3
Fórmula 3,114,2.58,25,2
Fórmula 1,115,3.29,21,4
Fórmula 2,116,2.18,20,5
Fórmula 1,117,3.65,20,2
Fórmula 3,118,0.24,35,3
Fórmula 3,119,2.83,36,4
Fórmula 2,120,0.79,36,3
Fórmula 1,121,0.6,38,3
Fórmula 3,122,1.71,22,4
Fórmula 2,123,0.46,35,3
Fórmula 3,124,0.47,27,4
Fórmula 3,125,1.56,39,2
Fórmula 1,126,4.9,38,4
Fórmula 3,127,0.88,23,4
Fórmula 1,128,0.09,18,5
Fórmula 3,129,3.82,22,4
Fórmula 2,130,4.03,26,4
Fórmula 3,131,1.73,29,2
Fórmula 1,132,2.32,31,5
Fórmula 1,133,3.25,19,6
Fórmula 2,134,0.24,34,2
Fórmula 3,135,4.75,31,2
Fórmula 3,136,4.43,30,6
Fórmula 2,137,1.3,26,4
Fórmula 3,138,0.08,32,3
Fórmula 3,139,4.67,39,5
Fórmula 1,140,2.51,32,3
Fórmula 3,141,2.7,28,6
Fórmula 3,142,3.42,33,2
Fórmula 2,143,3.08,34,2
Fórmula 2,144,4.72,21,5
Fórmula 1,145,4.72,18,2
Fórmula 3,146,4.34,25,2
Fórmula 3,147,3.18,34,5
Fórmula 3,148,4.0,20,5
Fórmula 1,149,3.39,37,6
Fórmula 1,150,2.87,32,2
Fórmula 2,151,0.64,32,2
Fórmula 1,152,4.06,39,6
Fórmula 3,153,4.1,31,4
Fórmula 3,154,3.13,31,4
Fórmula 1,155,4.1,19,4
Fórmula 3,156,3.26,30,6
Fórmula 3,157,1.03,31,2
Fórmula 1,158,1.37,36,6
Fórmula 1,159,1.07,24,6
Fórmula 3,160,1.89,20,4
Fórmula 3,161,0.19,32,3
Fórmula 3,162,3.09,31,2
Fórmula 2,163,1.68,28,4
Fórmula 2,164,3.28,32,3
Fórmula 2,165,1.93,30,3
Fórmula 1,166,3.41,35,5
Fórmula 2,167,1.7,23,2
Fórmula 1,168,1.3,20,3
Fórmula 1,169,2.48,36,4
Fórmula 2,170,3.46,32,5
Fórmula 2,171,1.74,22,2
Fórmula 2,172,4.68,27,6
Fórmula 3,173,0.2,24,4
Fórmula 2,174,2.09,34,3
Fórmula 3,175,4.84,24,3
Fórmula 1,176,2.74,39,4
Fórmula 3,177,2.12,29,3
Fórmula 2,178,2.84,34,5
Fórmula 1,179,2.88,30,2
Fórmula 1,180,3.66,37,5
Fórmula 1,181,0.64,21,3
Fórmula 3,182,1.25,27,6
Fórmula 2,183,2.9,20,2
Fórmula 1,184,4.34,26,2
Fórmula 1,185,2.81,30,4
Fórmula 1,186,1.19,35,4
Fórmula 3,187,3.4,32,6
Fórmula 3,188,3.7,21,2
Fórmula 2,189,1.19,32,6
Fórmula 3,190,1.89,39,4
Fórmula 1,191,2.67,19,4
Fórmula 2,192,2.48,32,2
Fórmula 1,193,1.95,25,5
Fórmula 1,194,1.49,25,3
Fórmula 3,195,0.5,34,4
Fórmula 2,196,0.27,29,4
Fórmula 3,197,4.79,36,5
Fórmula 3,198,4.24,27,5
Fórmula 2,199,1.77,26,6
Fórmula 1,200,4.78,22,6
Fórmula 1,201,3.38,23,3
Fórmula 2,202,2.41,37,3
Fórmula 1,203,2.47,19,2
Fórmula 2,204,0.42,30,6
Fórmula 2,205,0.46,23,4
Fórmula 3,206,3.01,22,6
Fórmula 2,207,2.77,18,4
Fórmula 3,208,1.06,38,5
Fórmula 1,209,4.73,39,6
Fórmula 1,210,3.91,38,5
Fórmula 1,211,0.57,23,3
Fórmula 1,212,4.65,23,3
Fórmula 3,213,4.87,33,2
Fórmula 1,214,4.98,21,6
Fórmula 2,215,0.28,28,5
Fórmula 2,216,3.69,26,4
Fórmula 2,217,2.73,20,3
Fórmula 3,218,3.53,36,3
Fórmula 1,219,4.84,25,4
Fórmula 1,220,3.44,22,5
Fórmula 1,221,4.18,21,5
Fórmula 3,222,4.33,23,6
Fórmula 2,223,4.19,19,6
Fórmula 2,224,2.13,37,2
Fórmula 1,225,1.11,28,3
Fórmula 2,226,1.98,21,6
Fórmula 2,227,4.46,32,5
Fórmula 3,228,0.73,23,4
Fórmula 3,229,2.57,39,5
Fórmula 3,230,1.17,34,3
Fórmula 3,231,2.91,23,5
Fórmula 1,232,4.32,36,2
Fórmula 3,233,4.4,19,3
Fórmula 2,234,1.18,32,4
Fórmula 1,235,4.54,28,2
Fórmula 2,236,2.96,25,3
Fórmula 2,237,1.75,36,4
Fórmula 2,238,3.54,30,2
Fórmula 3,239,2.41,29,2
Fórmula 3,240,1.89,22,3
Fórmula 1,241,3.53,23,6
Fórmula 1,242,1.24,39,2
Fórmula 3,243,1.65,21,2
Fórmula 2,244,2.17,36,4
Fórmula 1,245,1.27,37,5
Fórmula 3,246,2.03,18,3
Fórmula 3,247,2.86,37,3
Fórmula 3,248,3.7,34,6
Fórmula 2,249,3.84,29,6
Fórmula 3,250,4.11,32,3
Fórmula 3,251,3.72,18,6
Fórmula 3,252,3.41,31,4
Fórmula 3,253,1.19,23,3
Fórmula 1,254,2.0,22,6
Fórmula 1,255,2.39,28,3
Fórmula 3,256,0.41,21,5
Fórmula 2,257,2.64,30,2
Fórmula 1,258,2.18,28,3
Fórmula 3,259,4.01,20,2
Fórmula 1,260,4.89,18,6
Fórmula 1,261,2.78,23,2
Fórmula 2,262,1.61,35,3
Fórmula 3,263,0.22,27,5
Fórmula 3,264,4.62,22,6
Fórmula 2,265,4.6,27,3
Fórmula 2,266,1.26,29,6
Fórmula 3,267,3.48,19,4
Fórmula 3,268,0.38,30,2
Fórmula 2,269,0.83,25,4
Fórmula 1,270,1.08,19,3
Fórmula 1,271,1.47,37,5
Fórmula 2,272,4.98,18,6
Fórmula 1,273,3.48,22,2
Fórmula 2,274,1.92,26,6
Fórmula 1,275,3.69,34,3
Fórmula 1,276,4.58,26,6
Fórmula 3,277,4.79,28,2
Fórmula 3,278,0.29,32,3
Fórmula 1,279,1.97,23,6
Fórmula 1,280,0.53,20,5
Fórmula 3,281,1.68,34,3
Fórmula 3,282,0.85,22,3
Fórmula 3,283,3.23,29,5
Fórmula 2,284,1.94,35,4
Fórmula 1,285,1.15,31,2
Fórmula 3,286,1.33,38,4
Fórmula 1,287,1.8,28,6
Fórmula 2,288,1.3,26,5
Fórmula 2,289,2.27,19,4
Fórmula 3,290,0.16,29,3
Fórmula 2,291,1.4,20,6
Fórmula 1,292,2.06,20,6
Fórmula 3,293,3.01,18,4
Fórmula 1,294,1.35,25,4
Fórmula 1,295,0.67,39,5
Fórmula 2,296,0.38,25,2
Fórmula 2,297,4.7,28,4
Fórmula 2,298,2.08,26,4
Fórmula 2,299,2.91,22,3
Fórmula 2,300,4.6,31,6
